id,run_id,"('Parameter', 'dummy', 'Compliance')","('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 11""].targetProbabilities')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 21""].targetProbabilities')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 31""].targetProbabilities')","('Parameter', 'vadere', 'sources.[id==39].spawner.eventElementCount')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,0.0,74895,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]",8,1224.1731967926025,0
1,0,0.025,74895,"[1.0, 0.0, 0.0]","[0.975, 0.025, 0.0]","[0.975, 0.0, 0.025]",8,1121.2224743366241,0
2,0,0.05,74895,"[1.0, 0.0, 0.0]","[0.95, 0.05, 0.0]","[0.95, 0.0, 0.05]",8,1107.7129440307617,0
3,0,0.075,74895,"[1.0, 0.0, 0.0]","[0.925, 0.075, 0.0]","[0.925, 0.0, 0.075]",8,992.3199439048767,0
4,0,0.1,74895,"[1.0, 0.0, 0.0]","[0.9, 0.1, 0.0]","[0.9, 0.0, 0.1]",8,865.4495587348938,0
5,0,0.125,74895,"[1.0, 0.0, 0.0]","[0.875, 0.125, 0.0]","[0.875, 0.0, 0.125]",8,737.5066618919373,0
6,0,0.15,74895,"[1.0, 0.0, 0.0]","[0.85, 0.15, 0.0]","[0.85, 0.0, 0.15]",8,609.0945200920105,0
7,0,0.175,74895,"[1.0, 0.0, 0.0]","[0.825, 0.175, 0.0]","[0.825, 0.0, 0.175]",8,519.2958405017853,0
8,0,0.2,74895,"[1.0, 0.0, 0.0]","[0.8, 0.2, 0.0]","[0.8, 0.0, 0.2]",8,438.9767150878906,0
9,0,0.225,74895,"[1.0, 0.0, 0.0]","[0.775, 0.225, 0.0]","[0.775, 0.0, 0.225]",8,390.64383482933044,0
10,0,0.25,74895,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.75, 0.0, 0.25]",8,361.61539220809937,0
11,0,0.275,74895,"[1.0, 0.0, 0.0]","[0.725, 0.275, 0.0]","[0.725, 0.0, 0.275]",8,365.2777302265167,0
12,0,0.3,74895,"[1.0, 0.0, 0.0]","[0.7, 0.3, 0.0]","[0.7, 0.0, 0.3]",8,357.4959716796875,0
13,0,0.325,74895,"[1.0, 0.0, 0.0]","[0.675, 0.325, 0.0]","[0.675, 0.0, 0.325]",8,366.24448442459106,0
14,0,0.35,74895,"[1.0, 0.0, 0.0]","[0.65, 0.35, 0.0]","[0.65, 0.0, 0.35]",8,360.42357444763184,0
15,0,0.375,74895,"[1.0, 0.0, 0.0]","[0.625, 0.375, 0.0]","[0.625, 0.0, 0.375]",8,379.7476255893707,0
16,0,0.4,74895,"[1.0, 0.0, 0.0]","[0.6, 0.4, 0.0]","[0.6, 0.0, 0.4]",8,394.72433853149414,0
17,0,0.425,74895,"[1.0, 0.0, 0.0]","[0.575, 0.425, 0.0]","[0.575, 0.0, 0.425]",8,376.13139247894287,0
18,0,0.45,74895,"[1.0, 0.0, 0.0]","[0.55, 0.45, 0.0]","[0.55, 0.0, 0.45]",8,400.2448036670685,0
19,0,0.475,74895,"[1.0, 0.0, 0.0]","[0.525, 0.475, 0.0]","[0.525, 0.0, 0.475]",8,440.0601546764374,0
20,0,0.5,74895,"[1.0, 0.0, 0.0]","[0.5, 0.5, 0.0]","[0.5, 0.0, 0.5]",8,420.9947829246521,0
21,0,0.525,74895,"[1.0, 0.0, 0.0]","[0.475, 0.525, 0.0]","[0.475, 0.0, 0.525]",8,438.78148078918457,0
22,0,0.55,74895,"[1.0, 0.0, 0.0]","[0.45, 0.55, 0.0]","[0.45, 0.0, 0.55]",8,421.75522470474243,0
23,0,0.575,74895,"[1.0, 0.0, 0.0]","[0.425, 0.575, 0.0]","[0.425, 0.0, 0.575]",8,418.2225613594055,0
24,0,0.6,74895,"[1.0, 0.0, 0.0]","[0.4, 0.6, 0.0]","[0.4, 0.0, 0.6]",8,450.2253704071045,0
25,0,0.625,74895,"[1.0, 0.0, 0.0]","[0.375, 0.625, 0.0]","[0.375, 0.0, 0.625]",8,443.30067348480225,0
26,0,0.65,74895,"[1.0, 0.0, 0.0]","[0.35, 0.65, 0.0]","[0.35, 0.0, 0.65]",8,453.2388536930084,0
27,0,0.675,74895,"[1.0, 0.0, 0.0]","[0.325, 0.675, 0.0]","[0.325, 0.0, 0.675]",8,447.21590399742126,0
28,0,0.7,74895,"[1.0, 0.0, 0.0]","[0.3, 0.7, 0.0]","[0.3, 0.0, 0.7]",8,461.25514340400696,0
29,0,0.725,74895,"[1.0, 0.0, 0.0]","[0.275, 0.725, 0.0]","[0.275, 0.0, 0.725]",8,472.73570013046265,0
30,0,0.75,74895,"[1.0, 0.0, 0.0]","[0.25, 0.75, 0.0]","[0.25, 0.0, 0.75]",8,473.2239739894867,0
31,0,0.775,74895,"[1.0, 0.0, 0.0]","[0.225, 0.775, 0.0]","[0.225, 0.0, 0.775]",8,470.31530952453613,0
32,0,0.8,74895,"[1.0, 0.0, 0.0]","[0.2, 0.8, 0.0]","[0.2, 0.0, 0.8]",8,473.6093444824219,0
