id,run_id,"('Parameter', 'dummy', 'Compliance')","('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 11""].targetProbabilities')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 21""].targetProbabilities')","('Parameter', 'vadere', 'routeChoices.[instruction==""use target 31""].targetProbabilities')","('Parameter', 'vadere', 'sources.[id==39].spawner.eventElementCount')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,0.0,74895,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]",8,1216.9793977737427,0
1,0,0.025,74895,"[1.0, 0.0, 0.0]","[0.975, 0.025, 0.0]","[0.975, 0.0, 0.025]",8,1083.2731161117554,0
2,0,0.05,74895,"[1.0, 0.0, 0.0]","[0.95, 0.05, 0.0]","[0.95, 0.0, 0.05]",8,1107.3803358078003,0
3,0,0.075,74895,"[1.0, 0.0, 0.0]","[0.925, 0.075, 0.0]","[0.925, 0.0, 0.075]",8,968.5075399875641,0
4,0,0.1,74895,"[1.0, 0.0, 0.0]","[0.9, 0.1, 0.0]","[0.9, 0.0, 0.1]",8,838.4179549217224,0
5,0,0.125,74895,"[1.0, 0.0, 0.0]","[0.875, 0.125, 0.0]","[0.875, 0.0, 0.125]",8,746.2661881446838,0
6,0,0.15,74895,"[1.0, 0.0, 0.0]","[0.85, 0.15, 0.0]","[0.85, 0.0, 0.15]",8,613.2405297756195,0
7,0,0.175,74895,"[1.0, 0.0, 0.0]","[0.825, 0.175, 0.0]","[0.825, 0.0, 0.175]",8,493.11886072158813,0
8,0,0.2,74895,"[1.0, 0.0, 0.0]","[0.8, 0.2, 0.0]","[0.8, 0.0, 0.2]",8,422.6924090385437,0
9,0,0.225,74895,"[1.0, 0.0, 0.0]","[0.775, 0.225, 0.0]","[0.775, 0.0, 0.225]",8,374.4830415248871,0
10,0,0.25,74895,"[1.0, 0.0, 0.0]","[0.75, 0.25, 0.0]","[0.75, 0.0, 0.25]",8,330.7786328792572,0
11,0,0.275,74895,"[1.0, 0.0, 0.0]","[0.725, 0.275, 0.0]","[0.725, 0.0, 0.275]",8,333.79072523117065,0
