id,run_id,timeStep,numberPedsInformed-PID10,numberPedsAll-PID10,percentageInformed-PID10,numberPedsInformed-PID20,numberPedsAll-PID20,percentageInformed-PID20
0,0,0.0,0,102,0.0,0,412,0.0
0,0,0.4000000000000057,0,100,0.0,0,412,0.0
0,0,0.8000000000000114,0,99,0.0,0,412,0.0
0,0,1.2000000000000028,2,98,0.0204081632653061,83,412,0.2014563106796116
0,0,1.6000000000000083,2,96,0.0208333333333333,83,412,0.2014563106796116
0,0,2.0,66,95,0.6947368421052632,280,412,0.6796116504854369
0,0,2.4000000000000057,63,92,0.6847826086956522,280,412,0.6796116504854369
0,0,2.800000000000012,63,92,0.6847826086956522,280,411,0.681265206812652
0,0,3.200000000000003,88,88,1.0,380,411,0.924574209245742
0,0,3.6000000000000085,87,87,1.0,380,411,0.924574209245742
0,0,4.0,87,87,1.0,411,411,1.0
0,0,4.400000000000006,85,85,1.0,411,411,1.0
0,0,4.800000000000011,84,84,1.0,411,411,1.0
0,0,5.200000000000003,83,83,1.0,411,411,1.0
0,0,5.6000000000000085,82,82,1.0,411,411,1.0
0,0,6.0,79,79,1.0,411,411,1.0
0,0,6.400000000000006,78,78,1.0,411,411,1.0
0,0,6.800000000000011,78,78,1.0,411,411,1.0
0,0,7.200000000000003,77,77,1.0,411,411,1.0
0,0,7.600000000000008,75,75,1.0,411,411,1.0
0,0,8.0,73,73,1.0,411,411,1.0
1,0,0.0,0,102,0.0,0,412,0.0
1,0,0.4000000000000057,0,100,0.0,0,412,0.0
1,0,0.8000000000000114,0,99,0.0,0,412,0.0
1,0,1.2000000000000028,2,98,0.0204081632653061,83,412,0.2014563106796116
1,0,1.6000000000000083,2,96,0.0208333333333333,83,412,0.2014563106796116
1,0,2.0,66,95,0.6947368421052632,280,412,0.6796116504854369
1,0,2.4000000000000057,63,92,0.6847826086956522,280,412,0.6796116504854369
1,0,2.800000000000012,63,92,0.6847826086956522,280,411,0.681265206812652
1,0,3.200000000000003,88,88,1.0,380,411,0.924574209245742
1,0,3.6000000000000085,87,87,1.0,380,411,0.924574209245742
1,0,4.0,87,87,1.0,411,411,1.0
1,0,4.400000000000006,85,85,1.0,411,411,1.0
1,0,4.800000000000011,84,84,1.0,411,411,1.0
1,0,5.200000000000003,83,83,1.0,411,411,1.0
1,0,5.6000000000000085,82,82,1.0,411,411,1.0
1,0,6.0,79,79,1.0,411,411,1.0
1,0,6.400000000000006,78,78,1.0,411,411,1.0
1,0,6.800000000000011,78,78,1.0,411,411,1.0
1,0,7.200000000000003,77,77,1.0,411,411,1.0
1,0,7.600000000000008,75,75,1.0,411,411,1.0
1,0,8.0,73,73,1.0,411,411,1.0
2,0,0.0,0,102,0.0,0,412,0.0
2,0,0.4000000000000057,0,100,0.0,0,412,0.0
2,0,0.8000000000000114,0,99,0.0,0,412,0.0
2,0,1.2000000000000028,2,98,0.0204081632653061,83,412,0.2014563106796116
2,0,1.6000000000000083,2,96,0.0208333333333333,83,412,0.2014563106796116
2,0,2.0,66,95,0.6947368421052632,280,412,0.6796116504854369
2,0,2.4000000000000057,63,92,0.6847826086956522,280,412,0.6796116504854369
2,0,2.800000000000012,63,92,0.6847826086956522,280,411,0.681265206812652
2,0,3.200000000000003,88,88,1.0,380,411,0.924574209245742
2,0,3.6000000000000085,87,87,1.0,380,411,0.924574209245742
2,0,4.0,87,87,1.0,411,411,1.0
2,0,4.400000000000006,85,85,1.0,411,411,1.0
2,0,4.800000000000011,84,84,1.0,411,411,1.0
2,0,5.200000000000003,83,83,1.0,411,411,1.0
2,0,5.6000000000000085,82,82,1.0,411,411,1.0
2,0,6.0,79,79,1.0,411,411,1.0
2,0,6.400000000000006,78,78,1.0,411,411,1.0
2,0,6.800000000000011,78,78,1.0,411,411,1.0
2,0,7.200000000000003,77,77,1.0,411,411,1.0
2,0,7.600000000000008,75,75,1.0,411,411,1.0
2,0,8.0,73,73,1.0,411,411,1.0
3,0,0.0,0,102,0.0,0,412,0.0
3,0,0.4000000000000057,0,100,0.0,0,412,0.0
3,0,0.8000000000000114,0,99,0.0,0,412,0.0
3,0,1.2000000000000028,2,98,0.0204081632653061,83,412,0.2014563106796116
3,0,1.6000000000000083,2,96,0.0208333333333333,83,412,0.2014563106796116
3,0,2.0,2,95,0.0210526315789473,83,412,0.2014563106796116
3,0,2.4000000000000057,2,90,0.0222222222222222,83,412,0.2014563106796116
3,0,2.800000000000012,90,90,1.0,317,411,0.7712895377128953
3,0,3.200000000000003,85,85,1.0,317,411,0.7712895377128953
3,0,3.6000000000000085,84,84,1.0,317,411,0.7712895377128953
3,0,4.0,83,83,1.0,317,411,0.7712895377128953
3,0,4.400000000000006,82,82,1.0,317,411,0.7712895377128953
3,0,4.800000000000011,81,81,1.0,380,411,0.924574209245742
3,0,5.200000000000003,81,81,1.0,380,411,0.924574209245742
3,0,5.6000000000000085,79,79,1.0,380,411,0.924574209245742
3,0,6.0,76,76,1.0,380,411,0.924574209245742
3,0,6.400000000000006,76,76,1.0,411,411,1.0
3,0,6.800000000000011,76,76,1.0,411,411,1.0
3,0,7.200000000000003,75,75,1.0,411,411,1.0
3,0,7.600000000000008,74,74,1.0,411,411,1.0
3,0,8.0,73,73,1.0,411,411,1.0
3,0,8.400000000000006,72,72,1.0,411,411,1.0
3,0,8.800000000000011,72,72,1.0,411,411,1.0
3,0,9.200000000000005,71,71,1.0,410,410,1.0
3,0,9.600000000000009,70,70,1.0,410,410,1.0
3,0,10.0,68,68,1.0,410,410,1.0
3,0,10.400000000000006,67,67,1.0,410,410,1.0
4,0,0.0,0,102,0.0,0,412,0.0
4,0,0.4000000000000057,0,100,0.0,0,412,0.0
4,0,0.8000000000000114,0,99,0.0,0,412,0.0
4,0,1.2000000000000028,2,98,0.0204081632653061,83,412,0.2014563106796116
4,0,1.6000000000000083,2,96,0.0208333333333333,83,412,0.2014563106796116
