id,run_id,Interval,Agents,count,mean,std,min,q25,q50,q75,max,time
0,4.03,1.03,415,20019,4.16,1.61,0.00,3.11,4.17,5.24,7.20,4
3,4.03,1.80,415,16496,6.10,2.34,0.00,3.70,5.50,9.00,9.10,6.40000000000001
6,4.03,2.57,415,10270,6.02,1.81,0.00,5.19,5.25,7.79,7.84,6
9,4.03,1.03,1325,53431,3.98,1.71,0.00,3.08,4.15,5.30,6.37,3.2
12,4.03,1.80,1325,30270,4.81,1.93,0.00,3.63,5.43,5.61,7.41,4.80000000000001
15,4.03,2.57,1325,24579,5.34,2.14,0.00,2.65,5.24,7.77,7.93,6.40000000000001
18,4.03,1.03,2235,79917,4.00,1.67,0.00,3.08,4.22,5.28,6.40,3.2
21,4.03,1.80,2235,56751,4.86,2.03,0.00,3.62,5.44,7.21,7.48,4.80000000000001
24,4.03,2.57,2235,37865,5.51,2.18,0.00,2.66,5.31,7.81,8.00,6.40000000000001
1,11.00,1.03,415,20019,4.16,1.61,0.00,3.11,4.17,5.24,7.20,4
4,11.00,1.80,415,16496,6.10,2.34,0.00,3.70,5.50,9.00,9.10,6.40000000000001
7,11.00,2.57,415,10270,6.02,1.81,0.00,5.19,5.25,7.79,7.84,6
10,11.00,1.03,1325,53431,3.98,1.71,0.00,3.08,4.15,5.30,6.37,3.2
13,11.00,1.80,1325,30270,4.81,1.93,0.00,3.63,5.43,5.61,7.41,4.80000000000001
16,11.00,2.57,1325,24579,5.34,2.14,0.00,2.65,5.24,7.77,7.93,6.40000000000001
19,11.00,1.03,2235,79917,4.00,1.67,0.00,3.08,4.22,5.28,6.40,3.2
22,11.00,1.80,2235,56751,4.86,2.03,0.00,3.62,5.44,7.21,7.48,4.80000000000001
25,11.00,2.57,2235,37865,5.51,2.18,0.00,2.66,5.31,7.81,8.00,6.40000000000001
2,17.97,1.03,415,20019,4.16,1.61,0.00,3.11,4.17,5.24,7.20,4
5,17.97,1.80,415,16496,6.10,2.34,0.00,3.70,5.50,9.00,9.10,6.40000000000001
8,17.97,2.57,415,10270,6.02,1.81,0.00,5.19,5.25,7.79,7.84,6
11,17.97,1.03,1325,53431,3.98,1.71,0.00,3.08,4.15,5.30,6.37,3.2
14,17.97,1.80,1325,30270,4.81,1.93,0.00,3.63,5.43,5.61,7.41,4.80000000000001
17,17.97,2.57,1325,24579,5.34,2.14,0.00,2.65,5.24,7.77,7.93,6.40000000000001
20,17.97,1.03,2235,79917,4.00,1.67,0.00,3.08,4.22,5.28,6.40,3.2
23,17.97,1.80,2235,56751,4.86,2.03,0.00,3.62,5.44,7.21,7.48,4.80000000000001
26,17.97,2.57,2235,37865,5.51,2.18,0.00,2.66,5.31,7.81,8.00,6.40000000000001
