id,run_id,"('Parameter', 'omnet', '**wlan[*].radio.transmitter.power')","('Parameter', 'omnet', '*.misc[0].app[0].repeateInterval')","('Parameter', 'omnet', '*.traci.launcher.useVadereSeed')","('Parameter', 'vadere', 'attributesSimulation.useFixedSeed')","('Parameter', 'vadere', 'sources.[id==1].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==2].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==5].spawner.distribution.updateFrequency')","('Parameter', 'vadere', 'sources.[id==6].spawner.distribution.updateFrequency')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
0,0,4.0286mW,1.0254s,true,True,0.9642,0.9642,0.9642,0.9642,349.8747458457947,0
1,0,11.0mW,1.0254s,true,True,0.9642,0.9642,0.9642,0.9642,350.9714343547821,0
2,0,17.9714mW,1.0254s,true,True,0.9642,0.9642,0.9642,0.9642,351.0714409351349,0
3,0,4.0286mW,1.8s,true,True,0.9642,0.9642,0.9642,0.9642,297.13938164711,0
4,0,11.0mW,1.8s,true,True,0.9642,0.9642,0.9642,0.9642,299.7928614616394,0
5,0,17.9714mW,1.8s,true,True,0.9642,0.9642,0.9642,0.9642,299.6843135356903,0
6,0,4.0286mW,2.5746s,true,True,0.9642,0.9642,0.9642,0.9642,189.72129034996033,0
7,0,11.0mW,2.5746s,true,True,0.9642,0.9642,0.9642,0.9642,187.96592354774475,0
8,0,17.9714mW,2.5746s,true,True,0.9642,0.9642,0.9642,0.9642,157.05019235610962,0
9,0,4.0286mW,1.0254s,true,True,0.3019,0.3019,0.3019,0.3019,3883.095881462097,0
10,0,11.0mW,1.0254s,true,True,0.3019,0.3019,0.3019,0.3019,3943.320228099823,0
11,0,17.9714mW,1.0254s,true,True,0.3019,0.3019,0.3019,0.3019,3784.285472393036,0
12,0,4.0286mW,1.8s,true,True,0.3019,0.3019,0.3019,0.3019,2357.618451833725,0
13,0,11.0mW,1.8s,true,True,0.3019,0.3019,0.3019,0.3019,2258.0116209983826,0
14,0,17.9714mW,1.8s,true,True,0.3019,0.3019,0.3019,0.3019,2350.535309791565,0
15,0,4.0286mW,2.5746s,true,True,0.3019,0.3019,0.3019,0.3019,1559.147573709488,0
16,0,11.0mW,2.5746s,true,True,0.3019,0.3019,0.3019,0.3019,1524.5599267482758,0
17,0,17.9714mW,2.5746s,true,True,0.3019,0.3019,0.3019,0.3019,1547.0500438213348,0
18,0,4.0286mW,1.0254s,true,True,0.179,0.179,0.179,0.179,13037.991594314575,0
19,0,11.0mW,1.0254s,true,True,0.179,0.179,0.179,0.179,12987.173709869385,0
20,0,17.9714mW,1.0254s,true,True,0.179,0.179,0.179,0.179,13089.700407266617,0
21,0,4.0286mW,1.8s,true,True,0.179,0.179,0.179,0.179,8011.579908847809,0
22,0,11.0mW,1.8s,true,True,0.179,0.179,0.179,0.179,7972.131675481796,0
23,0,17.9714mW,1.8s,true,True,0.179,0.179,0.179,0.179,7716.9791378974915,0
24,0,4.0286mW,2.5746s,true,True,0.179,0.179,0.179,0.179,5232.9006090164185,0
25,0,11.0mW,2.5746s,true,True,0.179,0.179,0.179,0.179,5133.210050821304,0
26,0,17.9714mW,2.5746s,true,True,0.179,0.179,0.179,0.179,4990.834236621857,0
