#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=ymfPlusDistStep,NODE_ID=18,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;sourceHost;sourceEntry;hostEntry;rsd_id;own_cell
2;13;8;1;1.846;1.878134;18;ymfPlusDistStep;0.05;0;52.4258;52.4258;1;0
2;13;15;2;1.706;1.728134;18;ymfPlusDistStep;0.05;0;17.7421;17.7421;1;0
2;14;8;1;1.747;1.768134;18;ymfPlusDistStep;0.05;0;53.0495;53.0495;1;0
3;13;8;0;2.877;2.908134;18;ymfPlusDistStep;0.025;0;52.4258;52.4258;1;0
3;13;9;1;2.908134;2.908134;18;ymfPlusDistStep;1;0;47.4425;47.4425;1;0
3;13;15;2;2.629;2.651134;18;ymfPlusDistStep;0.025;0;17.7421;17.7421;1;0
3;14;8;1;2.706;2.727134;18;ymfPlusDistStep;0.025;0;53.0495;53.0495;1;0
4;13;8;0;2.883625640989;3.865134;489;ymfPlusDistStep;0.025;15.6553;3.37859;52.4258;-1;0
4;13;9;1;3.908;3.930134;18;ymfPlusDistStep;0.0333333;0;47.4425;47.4425;1;0
4;13;15;0;3.633625640989;3.865134;489;ymfPlusDistStep;0.025;15.6553;32.3787;17.7421;-1;0
4;13;16;2;3.643625640989;3.865134;489;ymfPlusDistStep;0.0333333;15.6553;37.36;12.9272;-1;0
4;14;8;0;3.683625640989;3.865134;489;ymfPlusDistStep;0.025;15.6553;3.95307;53.0495;-1;0
4;14;9;1;3.703625640989;3.865134;489;ymfPlusDistStep;0.0333333;15.6553;32.8888;48.1309;-1;0
5;13;8;0;2.893108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;3.37859;52.4258;-1;0
5;13;9;1;4.503108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;47.4425;47.4425;-1;0
5;13;15;0;3.643108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;32.3787;17.7421;-1;0
5;13;16;2;4.733108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;2.74323;12.9272;-1;0
5;14;8;0;3.693108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;3.95307;53.0495;-1;0
5;14;9;1;4.803108716104;4.914134;562;ymfPlusDistStep;0.025;12.9786;35.2903;48.1309;-1;0
6;13;8;0;2.895855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;3.37859;52.4258;-1;0
6;13;9;1;5.665855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;3.08139;47.4425;-1;0
6;13;15;0;3.645855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;32.3787;17.7421;-1;0
6;13;16;1;5.715855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;35.7274;12.9272;-1;0
6;14;8;0;3.695855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;3.95307;53.0495;-1;0
6;14;9;1;5.755855565435;5.797134;343;ymfPlusDistStep;0.025;48.2844;2.88714;48.1309;-1;0
6;14;16;1;5.575855565435;5.797134;343;ymfPlusDistStep;0.05;48.2844;35.9492;15.2611;-1;0
7;12;16;1;6.766;6.787134;18;ymfPlusDistStep;0.05;0;12.3014;12.3014;1;0
7;13;8;0;2.906081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.37859;52.4258;-1;0
7;13;9;1;6.566081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;36.041;47.4425;-1;0
7;13;15;0;3.656081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;32.3787;17.7421;-1;0
7;13;16;0;6.266081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.09422;12.9272;-1;0
7;14;8;0;3.706081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.95307;53.0495;-1;0
7;14;9;1;6.86;6.882134;18;ymfPlusDistStep;0.02;0;48.1309;48.1309;1;0
7;14;16;1;6.626081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;7.91279;15.2611;-1;0
8;12;16;1;7.824;7.845134;18;ymfPlusDistStep;0.05;0;12.3014;12.3014;1;0
8;13;8;0;2.906081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.37859;52.4258;-1;0
8;13;9;1;7.848;7.870134;18;ymfPlusDistStep;0.02;0;47.4425;47.4425;1;0
8;13;15;0;3.656081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;32.3787;17.7421;-1;0
8;13;16;0;6.266081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.09422;12.9272;-1;0
8;14;8;0;3.706081328275;6.787134;562;ymfPlusDistStep;0.02;11.5391;3.95307;53.0495;-1;0
8;14;9;1;7.777;7.798134;18;ymfPlusDistStep;0.02;0;48.1309;48.1309;1;0
8;14;16;1;7.757;7.778134;18;ymfPlusDistStep;0.02;0;15.2611;15.2611;1;0
9;12;16;0;8.913;8.935134;18;ymfPlusDistStep;0.02;0;12.3014;12.3014;1;0
9;12;17;1;8.935134;8.935134;18;ymfPlusDistStep;1;0;7.32503;7.32503;1;0
9;13;8;0;2.943606965433;8.535134;562;ymfPlusDistStep;0.02;9.89584;3.37859;52.4258;-1;0
9;13;9;0;8.333606965433;8.535134;562;ymfPlusDistStep;0.02;9.89584;47.4425;47.4425;-1;0
9;13;10;1;8.691;8.718134;18;ymfPlusDistStep;0.0333333;0;42.4632;42.4632;1;0
9;13;15;2;8.806;8.827134;18;ymfPlusDistStep;0.02;0;17.7421;17.7421;1;0
9;13;16;0;6.303606965433;8.535134;562;ymfPlusDistStep;0.02;9.89584;3.09422;12.9272;-1;0
9;14;8;0;3.743606965433;8.535134;562;ymfPlusDistStep;0.02;9.89584;3.95307;53.0495;-1;0
9;14;9;1;8.679;8.700134;18;ymfPlusDistStep;0.02;0;48.1309;48.1309;1;0
9;14;16;1;8.779;8.801134;18;ymfPlusDistStep;0.02;0;15.2611;15.2611;1;0
10;12;16;0;8.928300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;5.27705;12.3014;-1;0
10;12;17;1;9.682;9.704134;18;ymfPlusDistStep;0.0333333;0;7.32503;7.32503;1;0
10;13;8;0;2.958300665171;9.324134;416;ymfPlusDistStep;0.0166667;43.7339;3.37859;52.4258;-1;0
