timeStep corridorRecommended
27 31
32 31
37 31
42 31
47 31
52 31
57 31
62 31
67 31
72 31
77 31
82 skipped
87 skipped
92 31
97 31
102 31
107 31
112 31
117 skipped
122 skipped
127 skipped
132 skipped
137 skipped
142 31
147 skipped
152 31
157 skipped
162 31
167 31
172 31
177 31
182 31
187 31
192 31
197 31
202 31
207 31
212 31
217 31
222 31
227 31
232 31
237 skipped
242 skipped
247 31
252 31
257 31
262 31
267 31
272 31
277 skipped
282 31
287 31
292 31
297 31
302 31
307 31
312 31
317 31
322 31
327 31
332 skipped
337 skipped
342 skipped
347 skipped
352 skipped
357 skipped
362 skipped
367 skipped
372 skipped
377 skipped
382 skipped
387 skipped
392 31
397 skipped
402 skipped
407 31
412 31
417 31
422 31
427 31
432 31
437 31
442 31
447 31
452 31
457 31
462 31
467 31
472 31
477 31
482 31
487 skipped
492 skipped
497 31
502 31
507 31
512 31
517 31
522 31
527 31
532 31
537 31
542 31
547 31
552 31
557 skipped
562 skipped
567 skipped
572 31
577 31
582 31
587 31
592 31
597 31
602 31
607 skipped
612 skipped
617 skipped
622 skipped
627 skipped
632 skipped
637 31
642 31
647 31
652 31
657 31
662 skipped
667 31
672 31
677 31
682 31
687 31
692 31
697 31
702 31
707 31
712 31
717 31
722 31
727 31
732 31
737 31
742 31
747 31
752 skipped
757 31
762 31
767 31
772 31
777 31
782 31
787 31
792 31
797 31
802 31
807 31
812 31
817 31
822 31
827 31
832 31
837 skipped
842 skipped
847 skipped
852 skipped
857 skipped
862 skipped
867 skipped
872 skipped
877 skipped
882 skipped
887 skipped
892 31
897 31
902 31
907 31
912 31
917 31
922 31
927 31
932 31
937 31
942 31
947 31
952 31
957 31
962 31
967 31
972 31
977 skipped
982 skipped
987 skipped
992 skipped
997 skipped
1002 skipped
1007 skipped
1012 31
1017 31
1022 31
1027 31
1032 31
1037 31
1042 31
1047 31
1052 31
1057 31
1062 31
1067 31
1072 31
1077 31
1082 skipped
1087 skipped
1092 skipped
1097 skipped
1102 skipped
1107 skipped
1112 skipped
1117 skipped
1122 skipped
1127 skipped
1132 skipped
1137 skipped
1142 31
1147 31
1152 31
1157 31
1162 31
1167 31
1172 31
1177 31
1182 31
1187 skipped
1192 31
1197 31
1202 31
1207 31
1212 31
1217 31
1222 31
1227 31
1232 31
1237 31
1242 31
1247 31
1252 31
1257 31
1262 31
1267 31
1272 31
1277 31
1282 31
1287 31
1292 31
1297 31
1302 31
1307 31
1312 skipped
1317 skipped
1322 31
1327 31
1332 31
1337 skipped
1342 31
1347 31
1352 skipped
1357 31
1362 skipped
1367 skipped
1372 skipped
1377 skipped
1382 skipped
1387 skipped
1392 skipped
1397 skipped
1402 skipped
1407 31
1412 31
1417 31
1422 31
1427 31
1432 31
1437 31
1442 31
1447 31
1452 31
1457 31
1462 31
1467 31
1472 31
1477 31
1482 31
1487 skipped
1492 31
1497 31
1502 31
