#CELLSIZE=5.000000,DATACOL=-1,DATATYPE=pedestrianCount,IDXCOL=3,MAP_TYPE=global,NODE_ID=-1,SEP=;,SIM_BBOX=0;0;164.1;215.1,VERSION=0.4,XOFFSET=-692273.889474,XSIZE=164.100000,YOFFSET=-5337503.566101,YSIZE=215.100000
simtime;x;y;count;measured_t;received_t;source;selection;selectionRank;own_cell;node_id
1;12;18;1;1;1;-1;local;0;0;18
1;13;8;1;1;1;-1;local;0;0;416
1;13;15;2;1;1;-1;local;0;0;489, 562
1;14;8;1;1;1;-1;local;0;0;343
2;12;18;1;2;2;-1;local;0;0;18
2;13;8;1;2;2;-1;local;0;0;416
2;13;15;4;2;2;-1;local;0;0;489, 562, 675, 718
2;14;8;1;2;2;-1;local;0;0;343
3;12;18;1;3;3;-1;local;0;0;18
3;13;9;1;3;3;-1;local;0;0;416
3;13;15;3;3;3;-1;local;0;0;489, 675, 718
3;13;16;1;3;3;-1;local;0;0;562
3;14;8;1;3;3;-1;local;0;0;343
4;12;18;1;4;4;-1;local;0;0;18
4;13;9;1;4;4;-1;local;0;0;416
4;13;15;4;4;4;-1;local;0;0;675, 718, 791, 834
4;13;16;2;4;4;-1;local;0;0;489, 562
4;14;9;1;4;4;-1;local;0;0;343
5;12;18;1;5;5;-1;local;0;0;18
5;13;9;1;5;5;-1;local;0;0;416
5;13;14;1;5;5;-1;local;0;0;675
5;13;15;3;5;5;-1;local;0;0;718, 791, 834
5;13;16;2;5;5;-1;local;0;0;489, 562
5;14;9;1;5;5;-1;local;0;0;343
6;12;18;1;6;6;-1;local;0;0;18
6;13;9;1;6;6;-1;local;0;0;416
6;13;14;1;6;6;-1;local;0;0;675
6;13;15;4;6;6;-1;local;0;0;791, 834, 897, 940
6;13;16;2;6;6;-1;local;0;0;562, 718
6;14;9;1;6;6;-1;local;0;0;343
6;14;16;1;6;6;-1;local;0;0;489
7;12;16;1;7;7;-1;local;0;0;562
7;12;18;1;7;7;-1;local;0;0;18
7;13;9;1;7;7;-1;local;0;0;416
7;13;14;1;7;7;-1;local;0;0;675
7;13;15;3;7;7;-1;local;0;0;834, 897, 940
7;13;16;1;7;7;-1;local;0;0;791
7;14;9;1;7;7;-1;local;0;0;343
7;14;16;2;7;7;-1;local;0;0;489, 718
8;12;16;1;8;8;-1;local;0;0;562
8;12;18;1;8;8;-1;local;0;0;18
8;13;9;1;8;8;-1;local;0;0;416
8;13;14;1;8;8;-1;local;0;0;675
8;13;15;4;8;8;-1;local;0;0;897, 940, 1003, 1076
8;13;16;2;8;8;-1;local;0;0;791, 834
8;14;9;1;8;8;-1;local;0;0;343
8;14;16;2;8;8;-1;local;0;0;489, 718
9;12;17;1;9;9;-1;local;0;0;562
9;12;18;1;9;9;-1;local;0;0;18
9;13;10;1;9;9;-1;local;0;0;416
9;13;14;1;9;9;-1;local;0;0;675
9;13;15;3;9;9;-1;local;0;0;940, 1003, 1076
9;13;16;3;9;9;-1;local;0;0;791, 834, 897
9;14;10;1;9;9;-1;local;0;0;343
9;14;16;2;9;9;-1;local;0;0;489, 718
10;12;17;1;10;10;-1;local;0;0;562
10;12;18;1;10;10;-1;local;0;0;18
10;13;8;2;10;10;-1;local;0;0;1221, 1294
10;13;10;1;10;10;-1;local;0;0;416
10;13;14;1;10;10;-1;local;0;0;675
10;13;15;4;10;10;-1;local;0;0;1003, 1076, 1367, 1410
10;13;16;4;10;10;-1;local;0;0;791, 834, 897, 940
10;14;10;1;10;10;-1;local;0;0;343
10;14;16;2;10;10;-1;local;0;0;489, 718
11;12;17;1;11;11;-1;local;0;0;562
11;12;18;1;11;11;-1;local;0;0;18
11;13;8;2;11;11;-1;local;0;0;1221, 1294
11;13;10;1;11;11;-1;local;0;0;416
11;13;13;1;11;11;-1;local;0;0;675
11;13;15;2;11;11;-1;local;0;0;1367, 1410
11;13;16;5;11;11;-1;local;0;0;791, 834, 897, 1003, 1076
11;14;10;1;11;11;-1;local;0;0;343
11;14;16;3;11;11;-1;local;0;0;489, 718, 940
12;12;15;1;12;12;-1;local;0;0;1367
12;12;16;1;12;12;-1;local;0;0;897
12;12;17;1;12;12;-1;local;0;0;562
12;12;18;1;12;12;-1;local;0;0;18
12;13;8;2;12;12;-1;local;0;0;1221, 1294
12;13;10;1;12;12;-1;local;0;0;416
12;13;13;1;12;12;-1;local;0;0;675
12;13;15;4;12;12;-1;local;0;0;1003, 1410, 1571, 1614
12;13;16;3;12;12;-1;local;0;0;791, 834, 1076
12;14;10;1;12;12;-1;local;0;0;343
12;14;16;3;12;12;-1;local;0;0;489, 718, 940
13;12;16;2;13;13;-1;local;0;0;897, 1367
13;12;17;1;13;13;-1;local;0;0;562
13;12;18;1;13;13;-1;local;0;0;18
13;13;8;1;13;13;-1;local;0;0;1294
13;13;9;1;13;13;-1;local;0;0;1221
13;13;11;1;13;13;-1;local;0;0;416
13;13;13;1;13;13;-1;local;0;0;675
13;13;15;3;13;13;-1;local;0;0;1003, 1571, 1614
13;13;16;4;13;13;-1;local;0;0;791, 834, 1076, 1410
13;14;10;1;13;13;-1;local;0;0;343
13;14;16;1;13;13;-1;local;0;0;940
13;15;16;2;13;13;-1;local;0;0;489, 718
14;12;16;1;14;14;-1;local;0;0;1367
14;12;17;1;14;14;-1;local;0;0;897
14;12;18;2;14;14;-1;local;0;0;18, 562
14;13;9;2;14;14;-1;local;0;0;1221, 1294
14;13;11;1;14;14;-1;local;0;0;416
14;13;13;1;14;14;-1;local;0;0;675
14;13;15;5;14;14;-1;local;0;0;1003, 1571, 1614, 1699, 1742
14;13;16;2;14;14;-1;local;0;0;1076, 1410
14;13;17;2;14;14;-1;local;0;0;791, 834
14;14;10;1;14;14;-1;local;0;0;343
14;14;16;1;14;14;-1;local;0;0;940
14;15;16;2;14;14;-1;local;0;0;489, 718
15;12;16;1;15;15;-1;local;0;0;1367
15;12;17;1;15;15;-1;local;0;0;897
15;12;18;2;15;15;-1;local;0;0;18, 562
15;13;9;2;15;15;-1;local;0;0;1221, 1294
15;13;11;1;15;15;-1;local;0;0;416
15;13;13;1;15;15;-1;local;0;0;675
15;13;14;1;15;15;-1;local;0;0;1571
15;13;15;4;15;15;-1;local;0;0;1003, 1614, 1699, 1742
15;13;16;2;15;15;-1;local;0;0;1076, 1410
15;13;17;1;15;15;-1;local;0;0;834
15;14;11;1;15;15;-1;local;0;0;343
15;14;16;1;15;15;-1;local;0;0;940
15;14;17;1;15;15;-1;local;0;0;791
15;15;16;1;15;15;-1;local;0;0;718
15;15;17;1;15;15;-1;local;0;0;489
16;12;16;1;16;16;-1;local;0;0;1367
16;12;17;1;16;16;-1;local;0;0;897
16;12;18;2;16;16;-1;local;0;0;18, 562
16;13;9;2;16;16;-1;local;0;0;1221, 1294
16;13;11;1;16;16;-1;local;0;0;416
16;13;12;1;16;16;-1;local;0;0;675
16;13;14;1;16;16;-1;local;0;0;1571
16;13;15;6;16;16;-1;local;0;0;1003, 1614, 1699, 1742, 1821, 1894
16;13;16;1;16;16;-1;local;0;0;1410
16;13;17;2;16;16;-1;local;0;0;834, 1076
16;14;11;1;16;16;-1;local;0;0;343
16;14;16;1;16;16;-1;local;0;0;940
16;14;17;1;16;16;-1;local;0;0;791
16;15;16;1;16;16;-1;local;0;0;718
16;15;17;1;16;16;-1;local;0;0;489
17;12;16;1;17;17;-1;local;0;0;1367
17;12;17;2;17;17;-1;local;0;0;897, 1076
17;12;18;2;17;17;-1;local;0;0;18, 562
17;13;9;2;17;17;-1;local;0;0;1221, 1294
17;13;11;1;17;17;-1;local;0;0;416
17;13;12;1;17;17;-1;local;0;0;675
17;13;14;3;17;17;-1;local;0;0;1003, 1571, 1699
17;13;15;2;17;17;-1;local;0;0;1821, 1894
17;13;16;2;17;17;-1;local;0;0;1410, 1742
17;13;17;1;17;17;-1;local;0;0;834
17;14;11;1;17;17;-1;local;0;0;343
17;14;16;1;17;17;-1;local;0;0;1614
17;14;17;1;17;17;-1;local;0;0;791
17;15;16;2;17;17;-1;local;0;0;718, 940
17;15;17;1;17;17;-1;local;0;0;489
18;12;17;4;18;18;-1;local;0;0;834, 897, 1076, 1367
18;12;18;2;18;18;-1;local;0;0;18, 562
18;13;9;1;18;18;-1;local;0;0;1294
18;13;10;1;18;18;-1;local;0;0;1221
18;13;12;2;18;18;-1;local;0;0;416, 675
18;13;14;3;18;18;-1;local;0;0;1003, 1571, 1699
18;13;15;4;18;18;-1;local;0;0;1821, 1894, 2095, 2168
18;13;16;1;18;18;-1;local;0;0;1742
18;13;17;1;18;18;-1;local;0;0;1410
18;14;11;1;18;18;-1;local;0;0;343
18;14;16;1;18;18;-1;local;0;0;1614
18;14;17;1;18;18;-1;local;0;0;791
18;15;16;1;18;18;-1;local;0;0;940
18;15;17;2;18;18;-1;local;0;0;489, 718
19;12;17;2;19;19;-1;local;0;0;1076, 1367
19;12;18;3;19;19;-1;local;0;0;18, 834, 897
19;12;19;1;19;19;-1;local;0;0;562
19;13;10;2;19;19;-1;local;0;0;1221, 1294
19;13;12;2;19;19;-1;local;0;0;416, 675
19;13;14;3;19;19;-1;local;0;0;1003, 1571, 1699
19;13;15;3;19;19;-1;local;0;0;1821, 2095, 2168
19;13;16;2;19;19;-1;local;0;0;1742, 1894
19;13;17;1;19;19;-1;local;0;0;1410
19;14;11;1;19;19;-1;local;0;0;343
19;14;16;1;19;19;-1;local;0;0;1614
19;14;17;1;19;19;-1;local;0;0;791
19;15;16;1;19;19;-1;local;0;0;940
19;16;17;2;19;19;-1;local;0;0;489, 718
20;12;16;1;20;20;-1;local;0;0;1742
20;12;17;3;20;20;-1;local;0;0;1076, 1367, 1410
20;12;18;3;20;20;-1;local;0;0;18, 834, 897
20;12;19;1;20;20;-1;local;0;0;562
20;13;8;1;20;20;-1;local;0;0;2385
20;13;10;2;20;20;-1;local;0;0;1221, 1294
20;13;12;2;20;20;-1;local;0;0;343, 416
20;13;14;3;20;20;-1;local;0;0;1003, 1571, 1699
20;13;15;4;20;20;-1;local;0;0;2095, 2168, 2471, 2514
20;13;16;2;20;20;-1;local;0;0;1821, 1894
20;14;8;1;20;20;-1;local;0;0;2428
20;14;12;1;20;20;-1;local;0;0;675
20;14;16;1;20;20;-1;local;0;0;1614
20;15;16;1;20;20;-1;local;0;0;940
20;15;17;1;20;20;-1;local;0;0;791
20;16;17;2;20;20;-1;local;0;0;489, 718
21;12;15;1;21;21;-1;local;0;0;2095
21;12;16;2;21;21;-1;local;0;0;1742, 1821
21;12;17;3;21;21;-1;local;0;0;1076, 1367, 1410
21;12;18;3;21;21;-1;local;0;0;18, 834, 897
21;12;19;1;21;21;-1;local;0;0;562
21;13;8;1;21;21;-1;local;0;0;2385
21;13;10;2;21;21;-1;local;0;0;1221, 1294
21;13;12;2;21;21;-1;local;0;0;343, 416
21;13;14;3;21;21;-1;local;0;0;1003, 1571, 1699
21;13;15;3;21;21;-1;local;0;0;2168, 2471, 2514
21;13;16;1;21;21;-1;local;0;0;1894
21;14;8;1;21;21;-1;local;0;0;2428
21;14;11;1;21;21;-1;local;0;0;675
21;14;16;1;21;21;-1;local;0;0;1614
21;15;17;2;21;21;-1;local;0;0;791, 940
21;16;17;2;21;21;-1;local;0;0;489, 718
22;12;16;2;22;22;-1;local;0;0;1821, 2095
22;12;17;3;22;22;-1;local;0;0;1367, 1410, 1742
22;12;18;4;22;22;-1;local;0;0;18, 834, 897, 1076
22;12;19;1;22;22;-1;local;0;0;562
22;13;8;1;22;22;-1;local;0;0;2385
22;13;10;2;22;22;-1;local;0;0;1221, 1294
22;13;11;1;22;22;-1;local;0;0;675
22;13;12;2;22;22;-1;local;0;0;343, 416
22;13;13;1;22;22;-1;local;0;0;1571
