 sim_time real_time ratio_sim_real
0 0.0 2.2e-05 0.0
1 0.018 37.8671 0.000475347
2 10.001 39.961 4.76769
3 15.6 41.9893 2.76042
4 19.526 43.9905 1.96182
5 22.496 45.9905 1.48496
6 24.8 48.0717 1.10706
7 27.304 50.0733 1.25101
8 29.621 52.0752 1.15739
9 31.613 54.0752 0.99598
10 33.418 56.0776 0.901458
11 35.0 58.0779 0.790881
12 36.577 60.0786 0.788201
13 38.323 62.0792 0.872733
14 39.705 64.0813 0.6903
15 41.153134 66.0842 0.723011
16 42.478 68.0852 0.662106
17 43.839052588385 70.0854 0.680451
18 45.142 72.0872 0.650878
19 46.4 74.0907 0.627908
20 47.662 76.0923 0.630491
21 48.867 78.0932 0.60223
22 50.042 80.0963 0.586602
23 51.183 82.0972 0.570246
24 52.17 84.1003 0.492722
25 53.0 86.1167 0.411625
26 54.019 88.1185 0.509039
27 55.041 90.1197 0.510699
28 56.036 92.1214 0.497088
29 57.059 94.1252 0.510512
30 58.043134 96.1253 0.492041
31 59.03 98.1254 0.493427
32 59.958 100.129 0.463186
33 60.761 102.131 0.400983
34 61.561 104.136 0.39902
35 62.306 106.139 0.372033
36 63.037 108.14 0.365278
37 63.839 110.144 0.400214
38 64.432 112.145 0.296304
39 65.2 114.158 0.38164
40 66.0 116.233 0.385423
41 66.752 118.237 0.375377
42 67.45 120.239 0.348537
43 68.102 122.248 0.324632
44 68.794 124.25 0.345636
45 69.488 126.255 0.346174
46 70.109 128.255 0.310385
47 70.8 130.274 0.342331
48 71.463 132.274 0.331488
49 72.104 134.277 0.320043
50 72.782 136.278 0.338801
51 73.284 138.279 0.250929
52 73.942 140.281 0.328659
53 74.513134 142.282 0.285434
54 75.139 144.287 0.312096
55 75.699 146.289 0.279672
56 76.269 148.293 0.284495
57 76.801 150.324 0.261861
58 77.347 152.325 0.272879
59 77.901 154.326 0.276942
60 78.418647650096 156.33 0.258289
61 78.938 158.334 0.259135
62 79.506 160.338 0.283493
63 80.012 162.339 0.252841
64 80.548 164.341 0.267786
65 81.074 166.342 0.262774
66 81.519134 168.428 0.213459
67 82.017 170.429 0.248738
68 82.499 172.43 0.240951
69 82.98 174.435 0.239849
70 83.449 176.44 0.233917
71 83.945 178.443 0.247583
72 84.426134 180.445 0.240389
73 84.89 182.446 0.231745
74 85.372 184.448 0.240839
75 85.833 186.448 0.230433
76 86.268 188.45 0.217355
77 86.719 190.451 0.225335
78 87.201 192.477 0.237905
79 87.644 194.477 0.221496
80 88.116 196.479 0.235802
81 88.562 198.479 0.22297
82 88.998 200.759 0.191262
83 89.459 202.762 0.230095
84 89.813 204.762 0.176994
85 90.164 206.771 0.174718
86 90.576 208.776 0.205512
87 91.002 210.78 0.212625
88 91.45 212.789 0.222952
89 91.902 214.796 0.225232
90 92.295 216.801 0.196021
91 92.709 218.806 0.206423
92 93.128 220.809 0.209224
93 93.536 222.814 0.203471
94 93.943 224.816 0.203272
95 94.346134 226.817 0.201545
96 94.759 228.819 0.206228
97 95.152 230.821 0.196268
98 95.57 232.822 0.208844
99 95.963 234.827 0.196022
100 96.286 236.833 0.16108
101 96.678 238.833 0.195945
102 97.081 240.835 0.201259
103 97.495 242.837 0.206814
104 97.912 244.838 0.208392
105 98.298 246.839 0.192937
106 98.665 248.839 0.183466
107 99.057 250.842 0.195781
108 99.446 252.842 0.194463
109 99.809 254.847 0.181029
110 100.193 256.848 0.191888
111 100.573 258.849 0.18994
112 100.95 260.85 0.188413
